id,address,description,longitude,latitude
BWO02M,Rzemieślnicza 91 62-081 Baranowo,Na parkingu sklepu Hebo,16.79914,52.42858
POZ242M,Jana Henryka Dąbrowskiego 273a 60-412 Poznań,Na parkingu przed budynkiem ul. J. H. Dąbrowskiego 273a,16.85552,52.42756
PRM03M,Kościelna 16 62-081 Przeźmierowo,Przy parkingu posesji,16.79105,52.42682
BWO03M,Szamotulska 6/8 62-081 Baranowo,Przy sklepie Lidl,16.78684,52.43918
POZ02B,Bukowska 285 60-189 Poznań,Stacja paliw BP,16.83406,52.4133
POZ56N,Rzeszowska 2 60-461 Poznań,Przy sklepie Ecomark,16.85046,52.45345
POZ43M,Przelot 39 60-408 Poznań,Niezabudowana posesja od strony ul. Skalskiego,16.85681,52.42255
POZ47N,Złotowska 6-8 60-189 Poznań,Myjnia samochodowa F1 CarWash,16.83205,52.41251
PRM02M,Rzemieślnicza 31 62-081 Przeźmierowo,Na parkingu - Rzeczoznawcy SIM-TECH,16.79444,52.42022
PRM01A,Rynkowa 75 C 62-081 Przeźmierowo,Przy pasażu Przeźmierowo,16.78612,52.42612
POZ134M,Rumcajsa 2a 60-190 Poznań,Obok Pizzerii Raptorius,16.83285,52.41058
POZ218M,Sasankowa 25 60-175 Poznań,Na parkingu przy markecie Lewiatan,16.8115,52.38695
POZ136M,Szarotkowa 147 60-175 Poznań,przy wjeździe na posesję,16.80821,52.38633
SKW02M,Sadowa 13 60-185 Skórzewo,Przy prywatnej posesji,16.80139,52.38507
PLW06M,Grunwaldzka 533-541 62-064 Plewiska,Przy Lidlu,16.80929,52.36788
SKW01M,Poznańska 100 60-185 Skórzewo,Przy Lidlu,16.80178,52.3956
SKW02A,Poznańska 98A 60-185 Skórzewo,Przy markecie Bricomarche,16.8014,52.39478
POZ09B,Malwowa 162 60-175 Poznań,Parking Galerii Malwowej,16.80237,52.39692
SKW05M,Poznańska 80 60-185 Skórzewo,Na parkingu sklepu Żabka,16.79726,52.39386
POZ68M,Ławica 2 60-184 Poznań,Parking przy budynku usługowo-handlowym,16.82367,52.41004
POZ12N,Ezopa 2 60-195 Poznań,Przy sklepie spożywczym,16.83661,52.40884
PRM01HP,Rynkowa 109 62-081 Przeźmierowo,w sklepie Duży Ben,16.78794,52.42108
POZ278M,Lubczykowa 1 61-680 Poznań,W płocie,16.94319,52.48654
POZ226M,Jaśkowiaka 7 61-680 Poznań,Przy pizzerii,16.90994,52.48827
POZ05M,Naramowicka 342 61-680 Poznań,Przy budynku usługowo handlowym,16.94683,52.47502
POZ124M,Naramowicka 335 61-601 Poznań,Na parkingu,16.94665,52.47396
POZ245M,Szweykowskiego 22 61-606 Poznań,na terenie osiedla Różany Potok,16.93755,52.46816
POZ53M,Morasko 61-680 Poznań,Skrzyżowanie ulic Morasko/Hodowlana,16.90519,52.47561
POZ33N,Umultowska 85 61-614 Poznań,Przy Wydziale Fizyki Uniwersytetu im. Adama Mickiewicza,16.92875,52.46686
POZ189M,Lucjana Ballenstedta 11 61-606 Poznań,Na terenie spółdzielni mieszkaniowej Różany Potok,16.93984,52.46611
POZ20H,Os. Batorego 58A 60-687 Poznań,W lokalu użytkowym,16.92191,52.46207
POZ32N,Krygowskiego 10 60-680 Poznań,Parking przy UAM,16.94085,52.46279
POZ130M,Wietrzna 3 61-680 Poznań,Na terenie prywatne posesji,16.89978,52.46904
POZ18A,Opieńskiego 1 60-685 Poznań,Przy markecie Kaufland,16.92039,52.46095
POZ201M,Naramowicka 244 61-601 Poznań,Przy pasażu handlowym,16.94825,52.46293
SLS01G,Leśna 62 62-002 Suchy Las,Przy sklepie Żabka,16.89152,52.47465
POZ18N,Naramowicka 234 61-607 Poznań,Przy sklepie Chata Polska,16.9478,52.46132
POZ257M,Umultowska 67 61-614 Poznań,Za sklepem Aldi,16.92642,52.4592
POZ14A,Stróżyńskiego 29 60-688 Poznań,Przy markecie Chata Polska,16.90312,52.46326
POZ184M,Szymanowskiego 13 60-685 Poznań,Przy stacji Circle K,16.9068,52.45987
CZK01M,Os. Przylesie 9 62-004 Czerwonak,Przy sklepie spożywczym JANKES,16.98108,52.48104
CZK01N,Krótka 1 62-004 Czerwonak,Przy sklepie Żabka,16.97934,52.47724
POZ09M,Błażeja 3 61-611 Poznań,Przy sklepie Żabka,16.94642,52.45565
SLS03M,Bogusławskiego 58 62-002 Suchy Las,Na prywatnej posesji w miejscu ogrodzenia terenu,16.87932,52.4801
POZ215M,Budzisława 1 61-608 Poznań,Przy parkingu za budynkiem,16.94884,52.45553
POZ165M,Rubież 1 61-612 Poznań,Prywatna posesja na ul. Rubież,16.9482,52.44994
POZ272M,Os. Łokietka 7 61-616 Poznań,Przy budynku mieszkalnym nr 7,16.94381,52.45161
POZ16H,Sielawy 21L 61-619 Poznań,W lokalu użytkowym,16.95516,52.44758
POZ224M,Sielawy 21 61-612 Poznań,Przy osiedlu Enter,16.95428,52.44631
POZ191M,Os. Władysława Łokietka 102 61-616 Poznań,Przy obiekcie handlowo-usługowym,16.9411,52.44919
POZ247M,Karpia 23 61-612 Poznań,Przy parkingu osiedlowym,16.95434,52.44541
POZ248M,Dworska 4 61-619 Poznań,Przy Budynku Mieszkalnym,16.94669,52.44408
POZ133M,Sarmacka 7 61-616 Poznań,Na parkingu drukarni Prodruk,16.94193,52.4453
POZ42M,Naramowicka 142 61-619 Poznań,parking Lidla,16.94804,52.44276
POZ216M,Wenedów 17 61-614 Poznań,Poznań Wenedów 17,16.93484,52.45142
POZ54N,Skwierzyńska 1 61-616 Poznań,Przy prywatnej posesji,16.93595,52.44628
POZ85M,Karpia 31 61-619 Poznań,Parking przed Mleczarnią Naramowice,16.96133,52.44456
POZ19A,Naramowicka 104 61-619 Poznań,Przy sklepie Biedronka,16.94853,52.43916
POZ249M,Os. Wichrowe Wzgórze 15 61-655 Poznań,Przy bloku mieszkalnym nr 15,16.93942,52.4406
POZ07HP,Wichrowe Wzgórze 105 61-699 Poznań,w sklepie Duży Ben,16.94029,52.43875
POZ16APP,Os. Kosmonautów 16 61-625 Poznań,Przy sklepie spożywczym,16.94422,52.43724
POZ61M,Os. Wichrowe Wzgórze 105 61-686 Poznań,Przy Aptece GEMINI,16.93995,52.43837
POZ263M,Os. Przyjaźni 118 61-686 Poznań,Przy Wojewódzkiej Stacji Sanitarno-Epidemiologicznej,16.93137,52.43245
POZ86M,Os. Przyjaźni 125A 61-689 Poznań,Przy pasażu handlowym,16.9295,52.43086
POZ125M,Gronowa 18 61-655 Poznań,Przy markecie SPAR,16.93454,52.42956
POZ178M,Murawa 21 61-655 Poznań,Przy pawilonie handlowym,16.93571,52.42968
POZ10B,Al. Solidarności 42 61-696 Poznań,Przy sklepie Kaufland,16.92752,52.43531
POZ246M,Os. Wichrowe Wzgórze 22A 61-001 Poznań,Przy sklepie EMKA,16.93205,52.43583
POZ33A,os. Zwycięstwa 13 61-647 Poznań,Przy lokalu wolnostojącym Sprzedaż okien,16.92954,52.436
POZ70M,Murawa 26a 61-655 Poznań,Przy posesji,16.93646,52.42925
POZ90M,Warzywna 17 61-658 Poznań,Parking przed kościołem,16.92875,52.42789
POZ76M,Al.Solidarności 48 61-696 Poznań,Stacja paliw MOL,16.92341,52.43533
POZ259M,Al. Solidarności 50 61-696 Poznań,Przy sklepie Netto,16.92216,52.43535
POZ275M,Os. Wichrowe Wzgórze 3 61-672 Poznań,Przy bloku mieszkaniowym nr 3,16.93801,52.43586
POZ66M,Os. Przyjaźni 142 61-686 Poznań,Przy Administracji Osiedla,16.92128,52.4298
POZ07H,Naramowicka 47 61-622 Poznań,W lokalu użytkowym,16.94288,52.43219
POZ17H,Starowiejska 5/9 61-664 Poznań,W lokalu użytkowym,16.92341,52.42694
POZ68N,Os. Wichrowe Wzgórze 121 61-686 Poznań,Przy sklepie Duży Ben,16.93117,52.43917
POZ181M,Os. Zwycięstwa 109 61-653 Poznań,Przy pawilonie handlowym,16.92316,52.4385
POZ297M,Os. Kosmonautów 102 61-642 Poznań,Przy budynku nr 102,16.9438,52.43391
POZ15M,Żytnia 17A 61-625 Poznań,przy hurtowni GRACJA,16.94385,52.4359
POZ30N,Piątkowska 80 60-650 Poznań,Przy domach studenckich,16.91721,52.42844
POZ32A,Mieszka I 28 61-689 Poznań,Stacja paliw BP,16.92134,52.43871
POZ122M,Serbska 9 61-696 Poznań,niezabudowana działka przy parkingu (wjazd przez parking salonu BRW),16.94761,52.43273
POZ50N,Aleje Solidarności 47 61-696 Poznań,Na parkingu naziemnym przy Galerii Pestka,16.91799,52.43718
POZ04G,Serbska 7 61-696 Poznań,Na stacji MOYA,16.95065,52.43164
POZ25A,Serbska 7 61-696 Poznań,Przy sklepie Decathlon,16.95059,52.432
POZ27A,Serbska 24 61-696 Poznań,Stacja paliw BP,16.94669,52.431
POZ172M,Naramowicka 30 61-622 Poznań,teren posesji,16.94724,52.42875
POZ230M,Wilczak 16 61-623 Poznań,Na parkingu budynku wielorodzinnego,16.95096,52.4302
POZ281M,Ostrówek 8 61-003 Poznań,Przy budynku produkcyjnym,16.95225,52.4116
POZ273M,Małachowskiego 3-7 61-129 Poznań,teren zielony przy budynku mieszkalnym,16.96445,52.4128
POZ143M,Studzienna 4 61-006 Poznań,Przy wjeździe na posesję,16.96486,52.42015
POZ200M,Główna 12 61-005 Poznań,parking ALDI,16.96513,52.41848
POZ03APP,Warszawska 33B 61-113 Poznań,przy pawilonie handlowym,16.96309,52.40947
POZ17HP,Smolna 13 61-008 Poznań,w sklepie Duży Ben,16.96469,52.42266
POZ39M,Główna 28 61-005 Poznań,Na parkingu sklepu Lidl,16.96869,52.41975
POZ04B,Jana Pawła II 12 61-139 Poznań,Stacja paliw Shell,16.95335,52.40515
POZ19HP,Garbary 67 61-758 Poznań,w sklepie Duży Ben,16.93791,52.40829
POZ208M,Szelągowska 63 61-626 Poznań,przy wjeździe na posesję,16.94771,52.42655
POZ65N,Główna 35 61-011 Poznań,Przy sklepie Społem,16.96966,52.42099
POZ12H,Mostowa 3/4 61-854 Poznań,lokal użytkowy,16.93848,52.40647
POZ12M,Wilczak 3 61-623 Poznań,Przy Cukierni Expresowa,16.94879,52.42884
POZ16B,Warszawska 67 61-031 Poznań,Stacja paliwowa Amic,16.97261,52.41008
POZ126M,Termalna 5 61-028 Poznań,Parking hotelowy (dla Klientów InPost bezpłatny do 20minut),16.97398,52.40811
POZ01APP,Trzemeszeńska 2 61-038 Poznań,przy cukierni,16.97857,52.41219
POZ04HO,pl. Wiosny Ludów 2 61-831 Poznań,przy wejściu do Kupca Poznańskiego od strony ul. Wrocławskiej,16.93216,52.40551
POZ64M,Kórnicka 28 61-132 Poznań,Niezabudowana działka przy pawilonie handlowym,16.95141,52.39949
POZ70N,Polanka 13 61-131 Poznań,niezabudowana działka od ul. Polanka,16.95772,52.39979
POZ23A,RONDO RATAJE 61-144 Poznań,Stacja paliw BP,16.94844,52.39657
POZ10HP,Na miasteczku 12C 61-144 Poznań,w sklepie Duży Ben,16.94962,52.39726
POZ13HO,Pleszewska 1 61-136 Poznań,"CH Posnania, poziom -1, parking różowy, Przy wejściu do wind, wejście -1A",16.9541,52.39755
POZ35A,Pleszewska 1 61-136 Poznań,"CH Posnania, poziom -1, parking różowy, przy słupie A03, wejście -1A, pod ruchomymi schodami",16.95461,52.39782
POZ104M,Os. Piastowskie 55a 61-156 Poznań,Przy pływalni miejskiej Rataje,16.94389,52.39315
POZ43N,Obrzyca 7 61-156 Poznań,Przy parkingu strzeżonym,16.9463,52.39064
POZ44M,os. Jagiellońskie 121b 121B 61-222 Poznań,Przy Pasażu Handlowym,16.95252,52.39116
POZ10H,Kazimierza Wielkiego 2 61-863 Poznań,W lokalu użytkowym,16.93667,52.40112
POZ286M,Strzelecka 49 61-846 Poznań,Przy biurowcu Victoria,16.93648,52.40014
POZ39A,Jastrzębia 4 61-155 Poznań,Przy sklepie Stokrotka,16.94989,52.38854
POZ05H,Bielniki 1 61-555 Poznań,Lokal użytkowy,16.93419,52.39558
POZ22N,Os. Oświecenia 59 61-208 Poznań,Przy sklepie Społem PSS,16.95897,52.39017
POZ04H,os. Piastowskie 119 61-166 Poznań,pawilon handlowo-usługowy Równość,16.94407,52.38678
POZ13APP,os. Powstań Narodowych 61-215 Poznań,przy parkingu obok bloku 31-37,16.95499,52.38722
POZ129M,Zamenhofa 132 61-139 Poznań,parking Lidla,16.94344,52.38501
POZ250M,Piłsudskiego 106 61-246 Poznań,Przy budynku mieszkalnym,16.95982,52.38714
POZ17M,Wojska Polskiego 6/8 60-637 Poznań,Przy sklepie Chata Polska,16.90844,52.42472
POZ72M,Wołyńska 42 60-637 Poznań,Przy punkcie ksero,16.90768,52.42793
POZ267M,Nad Wierzbakiem 28 60-612 Poznań,obok parkingu,16.90949,52.42271
POZ65M,Sokoła 5a 60-651 Poznań,Na parkingu samochodowym,16.91208,52.4244
POZ88M,Błękitna 1-7 60-656 Poznań,"Za Apteką Wrzosowa, od strony ul. Turkusowej",16.90425,52.43051
POZ160M,Bonin 28 60-658 Poznań,Poznań ul. Bonin 28,16.90631,52.43107
POZ27M,Bonin 60-654 Poznań,Na terenie Spółdzielni Mieszkaniowej,16.90768,52.43075
POZ18M,Piątkowska 105 60-648 Poznań,Przy budynku usługowo-handlowym,16.91506,52.43036
POZ30M,Piątkowska 64 60-650 Poznań,"Przy sklepie Lidl, od strony stacji paliw Orlen",16.91841,52.42542
POZ51M,Winiary 54 60-655 Poznań,Przy sklepie Lewiatan,16.91072,52.43358
POZ15APP,Wojska Polskiego 87 60-625 Poznań,przy barze Pod Sosenką,16.89136,52.42997
POZ84M,Piątkowska 149 60-650 Poznań,Parking samochodowy,16.91244,52.43502
POZ05A,Al. Solidarności 55 61-696 Poznań,Stacja paliw Shell,16.91461,52.43599
POZ260M,Starołęcka 64 61-361 Poznań,parking Aldi,16.92832,52.36636
POZ253M,Osiedle Dębina 22b 61-450 Poznań,Przy bloku mieszkalnym os. Dębina 22b,16.90836,52.36134
POZ173M,Osiedle Dębina 105 61-450 Poznań,Na parkingu za Stokrotką,16.90731,52.36264
POZ251M,Os. Dębina 7 61-450 Poznań,Przy bloku mieszkalnym os. Dębina 7,16.90579,52.36007
POZ255M,Dolna Wilda 126 61-477 Poznań,Przy budynku biurowym Aquanet,16.91645,52.37209
POZ49N,Starołęcka 1 61-341 Poznań,Na parkingu przy sklepie Biedronka,16.94333,52.37852
POZ71M,Łozowa 101 61-442 Poznań,Przy sklepie Żabka,16.90705,52.36298
POZ20M,28 Czerwca 1956 r. 418 61-567 Poznań,Na parkingu sklepu Lidl,16.90368,52.35771
POZ16A,28 Czerwca 1956 roku 384 61-441 Poznań,Na parkingu Galerii Dębiec,16.90322,52.36281
POZ45M,Pawia 16 61-375 Poznań,Przy Żabce,16.94562,52.38082
POZ01HP,Cedrowa 2 61-449 Poznań,w sklepie Duży Ben,16.90527,52.36654
POZ49M,Stanisława Wyspiańskiego 29 60-751 Poznań,Przy Hotelu Dorrian,16.89319,52.3991
ZAL01APP,Transportowa 20 62-020 Zalasewo,"Obok sklepu metalowo - przemysłowego ""Stajnia""",17.07186,52.38111
SWD03N,Serdeczna 3 62-020 Swarzędz,parking budynku usługowo-handlowego,17.07579,52.38616
POZ05HP,Morawskiego 1/3N 60-239 Poznań,w sklepie Duży Ben,16.89588,52.39386
POZ270M,Kasprzaka 16 60-236 Poznań,Przy Przychodni,16.8955,52.39356
POZ09HP,Lodowa 1 60-227 Poznań,w sklepie Duży Ben,16.90048,52.39423
POZ271M,Klonowica 8 60-747 Poznań,Przy kamienicy,16.90035,52.39689
POZ03H,Dmowskiego 3 60-222 Poznań,W pawilonie handlowym,16.90102,52.39374
POZ269M,Łukaszewicza 43 60-211 Poznań,na parkingu za centrum handlowym,16.90326,52.3899
POZ280M,Gąsiorowskich 7 60-704 Poznań,przed domem studenckim,16.90654,52.39838
POZ06M,Racjonalizatorów 3 61-453 Poznań,Na dziedzińcu pawilonu handlowego,16.90478,52.36652
POZ117M,28 Czerwca 1956 r. 310 61-440 Poznań,Przy drogerii Rossmann,16.90341,52.37161
POZ187M,28 Czerwca 1956r. 323 61-469 Poznań,Przed wjazdem na posesję,16.90367,52.37019
CZK01A,Leśna 1 62-004 Czerwonak,Parking Czerwona Torebka,16.98174,52.465
CZK01HP,Leśna 1A 62-004 Czerwonak,w sklepie Duży Ben,16.98144,52.46534
POZ262M,Warszawska 84A 61-035 Poznań,Przy salonie fryzjerskim,16.98115,52.40919
POZ26A,Bałtycka 37 61-017 Poznań,Stacja paliw BP,16.97776,52.42669
POZ57A,Bałtycka 34 61-017 Poznań,za budynkiem stacji,16.97752,52.42589
POZ15HP,28 Czerwca 1956 r. 119 61-544 Poznań,w sklepie Duży Ben,16.92024,52.39245
POZ18HP,Wierzbięcice 23 61-561 Poznań,w sklepie Duży Ben,16.9211,52.39696
POZ283M,o. Mariana Żelazka 1 61-553 Poznań,Przy Lodowisku Chwiałka od strony giełdy kwiatowej,16.92899,52.39162
POZ15H,Wybickiego 12A 61-529 Poznań,lokal użytkowy,16.91709,52.39069
POZ289M,28 czerwca 1956 r. 149 61-525 Poznań,Przy Przychodni,16.91829,52.38881
POZ79M,Andersa 1 61-894 Poznań,Pod schodami od ulicy Kościuszki,16.92485,52.40189
POZ01HO,Półwiejska 42 61-888 Poznań,"Wjazd na pasaż, wejście przy słupach F27-F29, poziom - 3 przy schodach ruchomych",16.9275,52.40174
POZ02HO,Stanisława Matyi 2 61-586 Poznań,przejście z galerii na parking poziom 2,16.91298,52.4012
POZ14APP,Hetmańska 91 60-218 Poznań,obok galerii Green Point,16.912,52.38663
POZ177M,Matyi 2 61-586 Poznań,Na dworcu PKS,16.91401,52.40269
POZ19H,Piekary 16 61-823 Poznań,W lokalu użytkowym,16.92827,52.40412
POZ29A,Dworcowa 1 61-801 Poznań,Hol główny dworca PKP - Poznań,16.91328,52.4025
POZ16M,Fabryczna 23 61-512 Poznań,Na parkingu sklepu Lidl,16.90904,52.38705
POZ232M,Hetmańska 102 61-493 Poznań,szczyt bloku od ul. Rolnej,16.9177,52.38378
POZ36A,Hetmańska 98 61-493 Poznań,Stacja paliw BP,16.91583,52.38421
POZ294M,Kolejowa 29a 60-718 Poznań,parking przed budynkiem,16.90441,52.39047
POZ12HO,Świety Marcin 24 61-805 Poznań,schody ruchome przy Lidlu,16.9276,52.40651
POZ02H,Gwarna 7 61-702 Poznań,W lokalu użytkowym,16.92115,52.40772
LBO11M,Dożynkowa 1 62-030 Luboń,Na parkingu Pączek w Maśle,16.89786,52.35017
POZ69M,28 Czerwca 1956 r. 283 61-481 Poznań,Parking warsztatu samochodowego,16.90557,52.37507
POZ59N,Wspólna 32 61-479 Poznań,Przy Delikatesach Szymex,16.90985,52.37706
POZ56M,os. Armii Krajowej 94A 61-382 Poznań,Przy Sklepie spożywczo-monopolowym,16.95071,52.38137
POZ32M,Piłsudskiego 116 61-246 Poznań,Na parkingu sklepu Lidl,16.9602,52.38634
LBO01N,Wojska Polskiego 7 62-030 Luboń,Przy sklepie ogrodniczym,16.87195,52.34286
LBO12M,Żabikowska 34 62-030 Luboń,na parkingu Netto,16.8775,52.34518
LBO01HP,Pułaskiego 30A 62-030 Luboń,w sklepie Duży Ben,16.87999,52.34503
LBO04M,Żabikowska 45 62-030 Luboń,Przy sklepie Skrzat.,16.88022,52.34695
LBO03A,Żabikowska 53B 62-030 Luboń,Przy sklepie Intermarche,16.88208,52.34903
LBO17M,Kalinowa 1 62-030 Luboń,Na parkingu przy Obiadach Domowych,16.87513,52.33782
KOM04M,Żabikowska 37 62-052 Komorniki,Market Dino,16.8332,52.33898
LBO02A,Jana III Sobieskiego 53 62-030 Luboń,Warzywniak,16.87581,52.33495
KOM02M,Nowa 2 62-052 Komorniki,Przy wjeździe na parking sklepu Lidl,16.81429,52.3403
KOM06M,Komornicka 106 62-052 Komorniki,Przy wjeździe na posesję,16.83044,52.33368
KOM01N,Nizinna 10 62-052 Komorniki,Przy sklepie Netto,16.81507,52.33819
PLW03M,Grunwaldzka 610A 62-064 Plewiska,Na parkingu żabki,16.80827,52.36504
LBO06M,Armii Poznań 58 62-030 Luboń,Stacja paliw MOL,16.89496,52.34686
LBO14M,Dworcowa 8a 62-030 Luboń,Przy Pizza Peron,16.89092,52.34088
SKW01N,Poznańska 40 60-185 Skórzewo,Przy sklepie Żabka,16.78933,52.39001
KOM01A,Malinowskiego 9 62-052 Komorniki,Przy pasażu Czerwona Torebka,16.80025,52.33999
KOM01HP,Księdza Malinowskiego 9 62-052 Komorniki,w sklepie Duży Ben,16.79994,52.33987
KOM01M,Młyńska 4 62-052 Komorniki,przy sklepie Netto,16.80653,52.33444
BOU01M,Wrzosowa 104 62-006 Bogucin,Prywatna posesja,17.03089,52.4306
SWD04M,Napoleońska 14 62-020 Swarzędz,Parking na terenie posesji,17.06729,52.40711
SWD06M,Tysiąclecia 38 62-020 Swarzędz,Supermarket ALDI,17.06721,52.40099
SWD971,Tysiąclecia 17 62-020 Swarzędz,Przy Organic Fitness,17.06917,52.40216
GUS03M,Zielińska dz. 443/2 62-006 Gruszczyn,Przy budynku obok skrzynek pocztowych,17.05998,52.4267
ZAL07M,Planetarna 8 62-020 Zalasewo,Boomerang Park,17.06847,52.39285
ZAL01M,Planetarna 13 62-020 Zalasewo,Niezabudowana działka naprzeciw Centrum Medycznego Diagnosis,17.06912,52.39121
ZAL04M,Planetarna 15A/6 62-020 Zalasewo,"""Projekt Wakacje""",17.07087,52.38996
SWD03A,Tysiąclecia 4A 62-020 Swarzędz,Przy sklepie Żabka,17.07395,52.40241
SWD02N,Dworcowa 7 62-020 Swarzędz,Przy sklepie Media Expert,17.07424,52.40569
SWD04N,Kórnicka 91 62-020 Swarzędz,Przy sklepie Stokrotka,17.07776,52.39947
SWD08M,Żeromskiego 22 62-020 Swarzędz,Przed biurem rachunkowym Marbar,17.07674,52.40125
ZAL03M,Kórnicka 188 62-020 Zalasewo,Market Dino,17.07666,52.39095
SWD13M,Platynowa 4 62-020 Swarzędz,Przy salonie urody Sara,17.08003,52.39574
ZAL06M,Kórnicka 198B 62-020 Zalasewo,Parking Zalasewo Center,17.07577,52.38822
SWD02HP,Rynek 10 62-020 Swarzędz,w sklepie Duży Ben,17.07802,52.40984
SWD02M,Polna 23 62-020 Swarzędz,Przy parkingu sklepu Lidl,17.08274,52.40739
SWD01N,Polna 24 62-020 Swarzędz,Przy markecie Kaufland,17.08366,52.40891
SWD05M,Czwartaków 13 62-020 Swarzędz,Boki sklepu odzieżowego,17.07996,52.41746
SWD07M,"os. Czwartaków 103/45, 103/46 62-020 Swarzędz",lokalizacja na tyłach marketu spożywczego,17.08001,52.4172
GUS01M,Swarzędzka 89 62-006 Gruszczyn,Od strony Placu Gruszczyńskiego,17.07442,52.42979
SWD01HP,Kościuszkowców 23 BC 62-020 Swarzędz,w sklepie Duży Ben,17.08041,52.42122
SWD01A,Cieszkowskiego 39 62-020 Swarzędz,Boczna ściana sklepu Netto,17.08336,52.41992
ZAL05M,Średzka 59 62-020 Zalasewo,Wzdłuż płotu na prywatnej posesji,17.08968,52.39412
LBO08M,Sobieskiego 88c 62-030 Luboń,Parking przy Pawilonie Handlowym,16.87721,52.32903
WIY02M,Jesionowa 8 62-051 Wiry,Wiry ul. Jesionowa 8,16.86594,52.32471
KOM03M,Świętego Rocha 1 62-052 Komorniki,Na działce przy skrzyżowaniu ulic Św. Rocha i Rosnowskiej,16.79606,52.33584
GDI01M,Zbożowa 1 62-023 Gądki,Przy sklepie spożywczym,17.0534,52.30834
LCC01M,Poznańska 29 62-051 Łęczyca,boczna (lewa) ściana Lidla,16.87851,52.31146
LBO18M,Kręta 26 62-030 Luboń,Społem Kręta 26,16.88018,52.32036
BOW01N,Główna 2A 62-023 Borówiec,Przy parkingu Biedronki,17.04101,52.28082
BOW02M,Poznańska 53 62-023 Borówiec,parking przed budynkiem,17.04702,52.28574
ROA01M,Szkolna 2A 62-023 Robakowo,Market Dino,17.05297,52.29552
ROA01N,Szkolna 18 62-023 Robakowo,Na parkingu za budynkiem Centrum Medycznego KORMED,17.05732,52.30071
MCQ01M,Wiosenna 1 62-022 Mieczewo,przy budynku sklepu,17.00054,52.24265
ROA01A,Jaśminowa nr. dz. 334/27 62-023 Robakowo,Obok Żabki,17.06529,52.29773
ROA02M,Os. Tygrysie 26 62-023 Robakowo,Na parkingu pry sklepie SPAR,17.06738,52.29638
ROGA01M,Poznańska 2 62-022 Rogalin,parking przy sklepie,16.93483,52.23466
DAH02M,Poznańska 39 62-023 Dachowa,parking prze warzywniaku,17.08643,52.30169
DAH01M,Poznańska 21 62-023 Dachowa,Przy sklepie ABC,17.08759,52.30084
KOR02N,Poznańska 87 62-035 Kórnik,Przy markecie Netto,17.07737,52.2559
LBO03M,Polna 42 62-030 Luboń,Przy parkingu sklepu Lewiatan,16.87235,52.32574
WIY03M,Laskowska 53 62-051 Wiry,Przy Sklepie Żabka.,16.86732,52.31606
KOR03N,Woźniaka 5 62-035 Kórnik,Na parkingu Max Market Chiński,17.07773,52.25388
RGN02M,Kościelna 1 62-022 Rogalinek,Przy sklepie wielobranżowym,16.89946,52.24874
PUS01A,Poznańska 46B 62-040 Puszczykowo,Przy sklepie Żabka,16.85886,52.29005
PUS392,Poznańska 75 62-040 Puszczykowo,Przy sklepie Społem,16.85712,52.28747
PUS05M,Poznańska 89 62-040 Puszczykowo,teren prywatnej posesji,16.8544,52.28451
PUS03M,Gołebia 2 62-040 Puszczykowo,"Przy prywatnej posesji, od ulicy Studziennej",16.84819,52.28656
PUS02M,Piaskowa 28a 62-040 Puszczykowo,Na ścianie frontowej sklepu,16.85356,52.27831
KOR01M,Poznańska 52 62-035 Kórnik,Przy sklepie Lidla.,17.08389,52.25292
POZ138M,Jana Henryka Dąbrowskiego 182 60-594 Poznań,Na posesji ul. Jana Henryka Dąbrowskiego 182,16.8765,52.41957
POZ08N,os. Lotnictwa Polskiego 9 60-406 Poznań,Przy zakładzie mięsnym Bystry,16.86553,52.42284
POZ01A,Strzeszyńska 61A 60-479 Poznań,Przy Fitness Club Podolany,16.89353,52.44772
POZ149M,Strzeszyńska 63 60-479 Poznań,Galeria Podolany,16.89379,52.44909
POZ11M,Obornicka 309 60-689 Poznań,Na parkingu budynku Usługowo-Handlowego,16.89715,52.45681
POZ243M,Druskienicka 12A 60-476 Poznań,Poznań Druskienicka 12A,16.88969,52.44742
POZ13N,Omańkowskiej 108 60-465 Poznań,Przy sklepie Żabka,16.8958,52.45694
POZ171M,Druskienicka 12 60-476 Poznań,Wasz Sklep Spar Sp. z o.o,16.88909,52.44614
POZ99M,Druskienicka 32 60-476 Poznań,Przy boisku Szkoły Podstawowej,16.88797,52.45119
POZ87M,Obornicka 337 60-689 Poznań,Przy stacji paliwowej Shell,16.89308,52.45994
POZ231M,Straży Ludowej 6-8 60-465 Poznań,Blacharstwo Samochodowe,16.88447,52.45487
POZ37M,Szarych Szeregów 42 60-462 Poznań,Na parkingu sklepu Lidl,16.88449,52.45989
POZ40N,Szarych Szeregów 24 60-462 Poznań,Przy bloku mieszkalnym,16.88223,52.45853
SDM01N,św. Antoniego 2 62-080 Swadzim,Przy hipermarkecie Auchan,16.76441,52.44008
PRM04M,Poznańska 41 62-081 Przeźmierowo,Stacja Paliw Shell,16.77596,52.4354
SDY01M,Kobylnicka 2a 62-080 Sady,Przy Żabce,16.72522,52.44993
MNQ01M,Poznańska 1 62-090 Mrowino,Market Dino,16.69583,52.51571
GLZ01M,Tysiąclecia 2 62-001 Golęczewo,Na terenie prywatnej posesji partnera,16.81904,52.53649
CWC01M,Szamotulska 28 62-090 Cerekwica,Za budynkiem,16.69222,52.52147
